Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen
1,2015-05-26,TOR,CHW,W 10-9,38,37,10,13,8,0,2,10,1,0,7,0,0,0,0,0,0,0,1.470,6.142,1.431,4,12,17276,192
2,2015-07-27,CHC,COL,W 9-8,39,35,9,11,1,0,1,8,3,0,5,0,1,0,0,0,0,0,1.308,4.947,1.084,4,17,35070,215
3,2015-07-30,STL,COL,W 9-8,43,37,9,14,3,1,2,9,5,1,6,1,0,0,0,0,0,1,1.178,6.309,1.635,9,17,43518,230
4,2015-09-26,SFG,OAK,W 14-10,49,44,14,19,6,0,3,14,4,1,4,0,0,1,0,0,0,0,1.162,9.620,1.140,8,10,36067,212
5,2015-04-19,SEA,TEX,W 11-10,49,42,11,17,1,0,3,11,7,1,7,0,0,0,0,1,0,0,1.081,7.621,1.785,12,13,31601,225
6,2015-10-03,LAA,TEX,W 11-10,47,41,11,17,4,0,2,10,4,1,9,0,0,1,0,1,0,0,1.077,6.400,1.266,9,13,37271,246
7,2015-07-03,HOU,BOS,W 12-8,53,48,12,17,3,0,1,11,4,0,9,1,0,0,1,0,2,0,1.066,6.843,1.526,11,10,37837,263
8,2015-04-21,CHC,PIT,W 9-8,45,40,9,12,3,0,2,8,4,1,14,1,0,0,2,0,0,0,1.061,4.852,1.616,9,17,13680,198
9,2015-08-29,CIN,MIL,W 12-9,45,42,12,17,2,0,3,11,3,0,4,0,0,0,0,1,0,1,1.054,7.774,1.060,6,17,34365,239
10,2015-09-15,CIN,SFG,W 9-8,45,37,9,9,0,1,1,9,6,0,12,1,1,0,2,1,1,0,1.050,4.493,1.097,6,19,41044,242
11,2015-07-19,PHI,MIA,W 8-7,36,33,8,10,3,0,3,8,2,0,4,1,0,0,0,1,0,0,1.037,4.277,1.415,4,16,21739,195
12,2015-05-16,CLE,TEX,W 10-8,47,39,10,14,4,0,1,10,5,1,11,0,0,3,2,0,2,0,1.035,5.398,1.759,10,11,31045,217
13,2015-09-21,BOS,TBR,W 8-7,41,33,8,10,2,0,1,8,6,0,7,1,0,1,1,1,1,0,1.028,3.875,1.485,9,10,33673,227
14,2015-09-03,SDP,LAD,W 10-7,38,36,10,15,5,1,2,10,1,0,7,0,1,0,0,0,0,1,1.003,6.537,.936,4,16,33505,202
15,2015-09-13,NYM,ATL,W 10-7,48,37,10,9,2,0,2,9,8,0,7,3,0,0,1,1,0,2,0.998,5.582,1.331,8,18,23786,218
16,2015-07-21,SEA,DET,W 11-9,48,40,11,14,3,0,2,10,5,2,5,2,0,1,0,0,1,0,0.993,6.713,1.414,10,12,34088,235
17,2015-07-12,KCR,TOR,W 11-10,39,37,11,15,2,0,2,10,0,0,3,1,1,0,2,2,0,0,0.981,6.991,.766,4,9,31962,203
18,2015-05-26,CHW,TOR,L 9-10,45,41,9,14,3,0,1,9,2,0,8,1,0,1,1,0,1,0,0.971,4.662,1.507,9,9,17276,192
19,2015-07-06,LAD,PHI,W 10-7,42,36,10,15,5,1,2,10,3,0,4,0,1,1,0,0,0,1,0.966,6.431,1.175,8,18,45180,253
20,2015-09-20,TBR,BAL,W 7-6,43,38,7,14,3,1,2,6,4,1,12,0,0,1,0,1,1,0,0.958,3.502,1.972,10,15,17801,198
21,2015-09-23,SDP,SFG,W 5-4,42,37,5,11,4,0,0,5,5,2,6,0,0,0,0,0,0,0,0.934,1.504,1.882,11,16,23556,216
22,2015-05-31,ATL,SFG,W 7-5,39,37,7,9,0,1,2,7,2,0,6,0,0,0,1,0,0,0,0.931,2.944,1.538,5,14,41553,182
23,2015-07-29,LAD,OAK,W 10-7,39,35,10,12,4,1,1,10,4,0,9,0,0,0,0,0,1,0,0.925,6.432,.980,5,17,51788,204
24,2015-06-07,TOR,HOU,W 7-6,40,37,7,12,1,0,3,7,2,0,4,1,0,0,1,1,3,0,0.923,3.169,1.607,8,10,35571,186
25,2015-04-28,WSN,ATL,W 13-12,47,40,13,15,5,1,3,13,4,0,8,1,0,2,1,1,0,0,0.906,9.025,.818,7,16,14833,206
26,2015-05-13,WSN,ARI,W 9-6,42,35,9,8,1,0,3,9,6,1,5,1,0,0,0,0,2,0,0.903,4.683,1.608,6,16,19026,218
27,2015-08-06,ATL,MIA,W 9-8,39,32,9,12,3,1,1,9,2,1,1,1,3,1,0,0,1,0,0.900,5.465,.925,6,13,18548,198
28,2015-08-03,ATL,SFG,W 9-8,52,49,9,17,2,0,4,9,2,1,4,1,0,0,1,2,1,0,0.884,4.142,1.403,10,19,23428,233
29,2015-09-19,CIN,MIL,W 9-7,44,40,9,13,2,1,2,9,3,1,11,0,1,0,1,0,0,0,0.879,4.772,1.657,8,19,30387,219
30,2015-06-03,COL,LAD,W 7-6,41,34,7,10,2,0,1,6,6,1,6,0,0,1,0,0,2,0,0.872,2.974,1.522,9,16,24575,224
31,2015-04-11,DET,CLE,W 9-6,45,39,9,14,1,0,1,8,6,1,11,0,0,0,0,1,2,1,0.872,4.360,1.177,9,13,23161,256
32,2015-05-23,CHC,ARI,W 9-6,41,36,9,8,2,0,1,9,3,0,13,2,0,0,1,1,2,0,0.864,4.683,1.671,5,15,30502,194
33,2015-08-09,OAK,HOU,W 5-4,40,36,5,12,2,0,1,5,4,2,6,0,0,0,0,0,0,1,0.852,1.379,2.020,9,12,20278,215
34,2015-09-11,BAL,KCR,W 14-8,45,37,14,12,3,0,4,14,7,0,11,1,0,0,1,0,0,0,0.839,9.992,1.581,7,11,45420,239
35,2015-08-31,STL,WSN,W 8-5,38,34,8,13,1,0,0,8,4,1,5,0,0,0,0,3,0,0,0.837,4.243,1.221,6,15,42081,187
36,2015-08-24,NYM,PHI,W 16-7,50,47,16,20,7,0,8,16,2,0,8,1,0,0,0,0,0,0,0.836,11.810,.586,7,15,23744,213
37,2015-07-06,DET,SEA,W 12-5,44,42,12,19,0,1,4,12,1,0,7,0,0,1,0,3,0,0,0.836,7.884,.760,5,9,22580,197
38,2015-05-11,LAD,MIA,W 5-3,35,29,5,7,2,0,1,5,5,0,6,0,1,0,0,0,0,1,0.832,1.218,1.362,5,15,44941,182
39,2015-08-25,MIN,TBR,W 11-7,43,38,11,12,2,1,3,11,5,0,11,0,0,0,0,1,0,0,0.830,6.751,.762,5,9,9632,204
40,2015-08-23,KCR,BOS,W 8-6,42,37,8,14,4,1,1,7,1,0,2,1,2,1,1,0,1,0,0.829,3.359,1.754,7,9,36151,220
41,2015-08-08,DET,BOS,W 7-6,37,35,7,12,2,0,2,6,2,0,9,0,0,0,0,0,0,1,0.827,3.190,1.260,6,11,42098,191
42,2015-06-29,ARI,LAD,W 10-6,41,34,10,12,1,1,2,9,5,1,8,0,2,0,1,0,6,1,0.826,6.160,1.159,7,16,24215,229
43,2015-06-12,TOR,BOS,W 13-10,43,41,13,15,2,2,1,13,2,0,4,0,0,0,1,1,0,1,0.824,8.358,.804,3,10,37575,204
44,2015-05-12,KCR,TEX,W 7-6,45,41,7,12,4,1,3,7,2,1,6,1,0,1,1,1,0,0,0.822,1.887,1.481,8,9,23659,214
45,2015-10-01,ARI,COL,W 8-6,37,34,8,12,3,1,1,7,2,1,5,0,0,1,0,1,2,0,0.817,4.161,1.256,5,16,20826,190
46,2015-07-01,MIA,SFG,W 6-5,31,26,6,8,1,1,1,5,4,0,2,1,0,0,0,5,0,1,0.816,2.349,1.417,1,13,19341,165
47,2015-07-28,NYY,TEX,W 21-5,60,46,21,19,5,1,2,20,10,0,11,2,0,0,1,1,0,0,0.812,16.399,.452,12,11,28403,218
48,2015-07-27,COL,CHC,L 8-9,42,39,8,13,1,0,3,8,3,0,6,0,0,0,0,0,0,1,0.808,3.851,1.287,7,16,35070,215
49,2015-06-02 (2),LAD,COL,W 9-8,42,39,9,13,0,1,4,9,3,0,7,0,0,0,0,1,1,0,0.807,4.007,1.313,6,16,24972,204
50,2015-05-04,STL,CHC,W 10-9,40,33,10,11,2,0,1,10,4,0,6,1,1,1,0,1,0,0,0.804,6.241,1.387,6,15,41981,219
