Rk,Date,Tm,Opp,Rslt,IP,H,R,ER,BB,SO,HR,UER,Pit,Str,IR,IS,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,ERA,WPA,RE24,aLI,#,Attendance,GmLen
1,2015-07-19,NYM,STL,W 3-1,18.0,13,1,1,5,15,1,0,239,149,1,0,69,62,1,0,2,1,1,0,3,0,1,0,0,1,0.50,1.359,7.457,1.907,7,43194,355
2,2015-06-12,PIT,PHI,W 1-0,13.0,11,0,0,3,7,0,0,206,130,0,0,52,47,1,0,1,1,1,0,1,0,1,0,0,1,0.00,1.175,5.992,1.863,7,33749,274
3,2015-05-23,MIA,BAL,W 1-0,13.0,9,0,0,3,15,0,0,191,128,0,0,49,45,2,0,1,0,1,0,1,0,0,0,0,0,0.00,1.171,5.931,1.543,6,21356,231
4,2015-05-03,LAD,ARI,W 1-0,13.0,9,0,0,1,13,0,0,177,116,2,0,44,43,1,0,1,0,0,0,3,0,1,0,0,0,0.00,1.155,5.800,1.640,8,48136,242
5,2015-09-13,BOS,TBR,W 2-0,13.0,3,0,0,4,14,0,0,187,117,1,0,47,41,1,0,1,2,0,0,1,0,0,0,0,0,0.00,1.148,6.135,1.513,7,15402,245
6,2015-06-24,TOR,TBR,W 1-0,12.0,4,0,0,3,15,0,0,193,121,1,0,43,40,1,0,1,0,0,0,0,0,0,0,0,1,0.00,1.121,5.663,1.966,5,18469,219
7,2015-05-03,TBR,BAL,L 2-4,8.0,9,4,4,2,8,0,0,131,87,8,3,35,33,1,0,0,0,0,0,0,0,0,0,0,0,4.50,1.111,-0.223,.981,6,16652,164
8,2015-04-09,SFG,SDP,W 1-0,12.0,7,0,0,5,7,0,0,165,103,4,0,46,41,1,0,1,0,0,0,4,0,0,0,0,1,0.00,1.061,5.196,2.019,7,45149,245
9,2015-06-24,LAA,HOU,W 2-1,13.0,7,1,1,3,12,0,0,177,115,1,0,46,43,1,0,1,0,0,0,1,1,1,1,0,0,0.69,1.002,4.945,1.645,6,33543,271
10,2015-08-04,CLE,LAA,W 2-0,12.0,2,0,0,1,9,0,0,136,91,0,0,39,36,0,0,0,1,1,0,0,0,1,0,0,0,0.00,0.997,5.488,1.319,4,38159,212
11,2015-06-27,NYM,CIN,W 2-1,13.0,10,1,0,4,7,0,1,197,120,5,0,52,47,2,0,1,0,1,0,1,0,1,0,0,0,0.00,0.997,4.745,1.760,7,32531,273
12,2015-04-23,KCR,CHW,W 3-2,13.0,7,2,2,4,14,0,0,189,126,0,0,51,46,2,0,1,1,0,0,0,0,1,0,0,1,1.38,0.968,4.062,1.907,6,14218,247
13,2015-04-29,TBR,NYY,W 3-2,13.0,7,2,2,3,16,2,0,194,129,1,0,48,43,0,0,0,1,1,0,1,1,1,1,0,0,1.38,0.961,4.267,1.773,6,30055,238
14,2015-05-18,NYM,STL,W 2-1,14.0,9,1,1,3,18,0,0,205,142,2,0,54,50,3,0,1,0,0,1,1,0,0,0,0,2,0.64,0.953,5.186,2.043,6,23338,254
15,2015-06-14,PIT,PHI,W 1-0,11.0,6,0,0,1,4,0,0,126,86,0,0,38,37,1,0,0,0,0,0,0,2,2,0,0,0,0.00,0.917,5.069,1.433,3,34518,184
16,2015-09-28,CHC,KCR,W 1-0,11.0,4,0,0,3,14,0,0,154,98,0,0,38,35,1,0,0,0,0,0,1,1,0,1,0,0,0.00,0.916,5.070,1.287,6,40552,169
17,2015-05-31,MIL,ARI,W 7-6,17.0,16,6,6,9,14,2,0,253,152,1,0,74,61,2,1,3,0,3,1,1,2,1,0,0,2,3.18,0.887,1.989,1.865,9,32460,349
18,2015-07-24,BOS,DET,W 2-1,11.0,7,1,1,1,11,0,0,175,113,0,0,39,38,1,1,0,0,0,0,1,1,1,0,0,2,0.82,0.860,4.673,1.489,4,37650,222
19,2015-07-19,STL,NYM,L 1-3,18.0,16,3,2,13,15,0,1,319,191,4,0,82,64,4,0,3,0,4,1,1,2,1,1,0,1,1.00,0.858,5.457,2.301,8,43194,355
20,2015-06-04,TEX,CHW,W 2-1,11.0,6,1,0,2,7,0,1,177,110,1,0,44,41,0,0,0,0,0,1,0,1,0,0,0,1,0.00,0.853,4.622,1.541,6,27616,235
21,2015-06-30,CHW,STL,W 2-1,11.0,8,1,1,2,14,1,0,158,109,1,0,43,40,1,0,0,0,1,0,0,0,0,0,0,0,0.82,0.850,4.168,1.792,5,45626,214
22,2015-07-01,CHC,NYM,W 2-0,11.0,7,0,0,2,13,0,0,169,114,1,0,43,40,3,0,0,1,0,0,0,1,1,0,0,2,0.00,0.849,4.861,1.598,6,23906,220
23,2015-05-18,ARI,MIA,W 3-2,13.0,6,2,2,3,10,1,0,154,98,0,0,45,41,1,0,0,0,1,0,1,0,2,0,0,0,1.38,0.838,3.932,1.536,4,17526,191
24,2015-07-23,SEA,DET,W 3-2,12.0,10,2,2,5,13,0,0,189,116,0,0,48,41,3,0,2,1,1,0,2,0,1,0,0,1,1.50,0.834,3.718,1.958,5,40225,273
25,2015-09-26,WSN,PHI,W 2-1,12.0,6,1,1,4,16,0,0,178,117,1,0,44,38,1,0,1,0,2,0,1,0,1,0,0,1,0.75,0.833,4.810,1.964,5,32086,230
